product_basket,section,family,SF_type,industry_group,SIC,running_perc,avg_lag,weighted_avg,sales,is_commodity
HYG,HYGIENE & CLEANING,WASHROOM SUPPLIES & PERSONAL CARE,SMB,Business,"Water Supply, Sewerage, Waste Management And Remediation Activities",0.2923076923076923,61.31843862352337,77.61821853349059,144710.60999999972,1
HYG,HYGIENE & CLEANING,WASTE MANAGEMENT,CORP,Business,Administrative And Support Service Activities,0.6028368794326241,157.46153846153845,96.17576023817008,35904.83000000001,0
HYG,HYGIENE & CLEANING,WASTE MANAGEMENT,CORP,Business,"Electricity, Gas, Steam And Air Conditioning Supply",0.35714285714285715,83.45454545454545,70.57095307195367,1981.7299999999998,0
HYG,HYGIENE & CLEANING,WASTE MANAGEMENT,CORP,Business,Financial And Insurance Activities,0.603448275862069,103.55749128919861,79.53765625514646,41714.870000000046,0
HYG,HYGIENE & CLEANING,WASTE MANAGEMENT,CORP,Business,"Professional, Scientific And Technical Activities",0.5681818181818182,117.48344370860927,81.01797465890164,43012.93999999996,0
HYG,HYGIENE & CLEANING,WASTE MANAGEMENT,CORP,Business,Real Estate Activities,0.7058823529411765,16.10924369747899,35.35503202905741,22009.340000000004,0
HYG,HYGIENE & CLEANING,WASTE MANAGEMENT,CORP,Business,"Water Supply, Sewerage, Waste Management And Remediation Activities",0.48,136.88,89.24928266624168,6972.619999999999,0
HYG,HYGIENE & CLEANING,WASTE MANAGEMENT,SMB,Business,Administrative And Support Service Activities,0.5223367697594502,90.05407523510972,81.52374549545932,78530.85,0
HYG,HYGIENE & CLEANING,WASTE MANAGEMENT,SMB,Business,"Electricity, Gas, Steam And Air Conditioning Supply",0.6352941176470588,117.55555555555556,81.17485494354979,9395.899999999987,0
HYG,HYGIENE & CLEANING,WASTE MANAGEMENT,SMB,Business,Financial And Insurance Activities,0.5426008968609866,125.52454780361757,82.70400458196748,15197.399999999998,0
HYG,HYGIENE & CLEANING,WASTE MANAGEMENT,SMB,Business,"Professional, Scientific And Technical Activities",0.500578034682081,93.79973764757324,78.40212768182522,103210.43000000033,0
HYG,HYGIENE & CLEANING,WASTE MANAGEMENT,SMB,Business,Real Estate Activities,0.4948453608247423,111.00461893764434,95.78089211119918,15915.800000000007,0
HYG,HYGIENE & CLEANING,WASTE MANAGEMENT,SMB,Business,"Water Supply, Sewerage, Waste Management And Remediation Activities",0.46153846153846156,101.08949416342412,77.61821853349059,11835.279999999993,0
HYG,HYGIENE & CLEANING,WIPING,CORP,Business,Administrative And Support Service Activities,0.4397163120567376,76.35670731707317,96.17576023817008,34083.940000000046,1
HYG,HYGIENE & CLEANING,WIPING,CORP,Business,"Electricity, Gas, Steam And Air Conditioning Supply",0.6153846153846154,79.89655172413794,70.57095307195367,2515.47,0
